countyfips,date,mobility,yoy_change,year,month,yearmonth,day,Date
51187,2021-07-19 00:00:00,75.0,-0.715370018975332,2021,07,2021-07,19,2021-07-19
51510,2021-07-19 00:00:00,-398.5,0.9344660194174756,2021,07,2021-07,19,2021-07-19
51610,2021-07-19 00:00:00,-146.0,-0.5718475073313782,2021,07,2021-07,19,2021-07-19
51683,2021-07-19 00:00:00,-6.5000000133,-0.9817415729963483,2021,07,2021-07,19,2021-07-19
11001,2021-07-20 00:00:00,-220.0,-0.38288920056100983,2021,07,2021-07,20,2021-07-20
24009,2021-07-20 00:00:00,-420.0,-20.53488372093023,2021,07,2021-07,20,2021-07-20
24017,2021-07-20 00:00:00,-103.5,-0.8253164556962025,2021,07,2021-07,20,2021-07-20
24021,2021-07-20 00:00:00,73.5,-1.243781094527363,2021,07,2021-07,20,2021-07-20
24031,2021-07-20 00:00:00,214.0,-2.1088082901554404,2021,07,2021-07,20,2021-07-20
24033,2021-07-20 00:00:00,-478.5,0.20377358490566033,2021,07,2021-07,20,2021-07-20
24037,2021-07-20 00:00:00,57.0,-0.6976127320954908,2021,07,2021-07,20,2021-07-20
51013,2021-07-20 00:00:00,-324.0,0.1020408163265305,2021,07,2021-07,20,2021-07-20
51059,2021-07-20 00:00:00,-268.0,0.33333333333333326,2021,07,2021-07,20,2021-07-20
51061,2021-07-20 00:00:00,488.0,-2.394285714285714,2021,07,2021-07,20,2021-07-20
51107,2021-07-20 00:00:00,-334.5,1.23,2021,07,2021-07,20,2021-07-20
51153,2021-07-20 00:00:00,0.5,-1.0666666666666667,2021,07,2021-07,20,2021-07-20
51187,2021-07-20 00:00:00,77.0,-0.6730360934182591,2021,07,2021-07,20,2021-07-20
51510,2021-07-20 00:00:00,-384.0,0.8823529411764706,2021,07,2021-07,20,2021-07-20
51610,2021-07-20 00:00:00,-136.0,-0.6034985422740524,2021,07,2021-07,20,2021-07-20
51683,2021-07-20 00:00:00,-351.0,0.5846501128668171,2021,07,2021-07,20,2021-07-20
11001,2021-07-21 00:00:00,-218.0,-0.3859154929577465,2021,07,2021-07,21,2021-07-21
24009,2021-07-21 00:00:00,-134.0,-3.3508771929824563,2021,07,2021-07,21,2021-07-21
24017,2021-07-21 00:00:00,-486.0,-0.17974683544303793,2021,07,2021-07,21,2021-07-21
24021,2021-07-21 00:00:00,75.0,-2.0067114093959733,2021,07,2021-07,21,2021-07-21
24031,2021-07-21 00:00:00,279.0,-2.4645669291338583,2021,07,2021-07,21,2021-07-21
24033,2021-07-21 00:00:00,-125.0,-0.6843434343434344,2021,07,2021-07,21,2021-07-21
24037,2021-07-21 00:00:00,85.5,-2.693069306930693,2021,07,2021-07,21,2021-07-21
51013,2021-07-21 00:00:00,-172.5,-0.41326530612244894,2021,07,2021-07,21,2021-07-21
51059,2021-07-21 00:00:00,-123.5,-0.3762626262626263,2021,07,2021-07,21,2021-07-21
51061,2021-07-21 00:00:00,520.0,-5.859813084112149,2021,07,2021-07,21,2021-07-21
51107,2021-07-21 00:00:00,-228.5,2.656,2021,07,2021-07,21,2021-07-21
51153,2021-07-21 00:00:00,-228.5,2.8403361344537816,2021,07,2021-07,21,2021-07-21
51187,2021-07-21 00:00:00,133.5,-0.4294871794871795,2021,07,2021-07,21,2021-07-21
51510,2021-07-21 00:00:00,-370.0,0.8362282878411911,2021,07,2021-07,21,2021-07-21
51610,2021-07-21 00:00:00,-129.0,-0.6271676300578035,2021,07,2021-07,21,2021-07-21
51683,2021-07-21 00:00:00,79.5,-1.3723653395784543,2021,07,2021-07,21,2021-07-21
11001,2021-07-22 00:00:00,-217.5,-0.3829787234042553,2021,07,2021-07,22,2021-07-22
24009,2021-07-22 00:00:00,-196.0,-1.5756240822320118,2021,07,2021-07,22,2021-07-22
24017,2021-07-22 00:00:00,-543.5,0.014939309056956063,2021,07,2021-07,22,2021-07-22
24021,2021-07-22 00:00:00,64.5,-1.1969465648854962,2021,07,2021-07,22,2021-07-22
24031,2021-07-22 00:00:00,279.0,-2.4761904761904763,2021,07,2021-07,22,2021-07-22
24033,2021-07-22 00:00:00,-132.0,-0.6526315789473685,2021,07,2021-07,22,2021-07-22
24037,2021-07-22 00:00:00,85.5,-0.5196629213483146,2021,07,2021-07,22,2021-07-22
51013,2021-07-22 00:00:00,-484.0,0.6747404844290656,2021,07,2021-07,22,2021-07-22
51059,2021-07-22 00:00:00,-52.0,-0.731958762886598,2021,07,2021-07,22,2021-07-22
51061,2021-07-22 00:00:00,67.5,-1.2777777777777777,2021,07,2021-07,22,2021-07-22
51107,2021-07-22 00:00:00,-334.5,1.2832764505119454,2021,07,2021-07,22,2021-07-22
51153,2021-07-22 00:00:00,-314.0,0.5700000000000001,2021,07,2021-07,22,2021-07-22
51187,2021-07-22 00:00:00,124.0,-0.49284253578732107,2021,07,2021-07,22,2021-07-22
51510,2021-07-22 00:00:00,-79.5,-0.5923076923076923,2021,07,2021-07,22,2021-07-22
51610,2021-07-22 00:00:00,-129.0,-0.6217008797653959,2021,07,2021-07,22,2021-07-22
51683,2021-07-22 00:00:00,364.0,1.5454545454545454,2021,07,2021-07,22,2021-07-22
11001,2021-07-23 00:00:00,-219.0,-0.3796033994334278,2021,07,2021-07,23,2021-07-23
24009,2021-07-23 00:00:00,-122.5,-1.3678678678678677,2021,07,2021-07,23,2021-07-23
24017,2021-07-23 00:00:00,-986.0,1.2562929061784898,2021,07,2021-07,23,2021-07-23
24021,2021-07-23 00:00:00,132.5,-2.815068493150685,2021,07,2021-07,23,2021-07-23
24031,2021-07-23 00:00:00,221.0,-2.1724137931034484,2021,07,2021-07,23,2021-07-23
24033,2021-07-23 00:00:00,-139.0,-0.6342105263157894,2021,07,2021-07,23,2021-07-23
24037,2021-07-23 00:00:00,100.0,-0.35691318327974275,2021,07,2021-07,23,2021-07-23
51013,2021-07-23 00:00:00,-505.0,0.7657342657342658,2021,07,2021-07,23,2021-07-23
51059,2021-07-23 00:00:00,-196.0,0.02083333333333326,2021,07,2021-07,23,2021-07-23
51061,2021-07-23 00:00:00,467.5,-2.767485822306238,2021,07,2021-07,23,2021-07-23
51107,2021-07-23 00:00:00,-264.5,0.8304498269896194,2021,07,2021-07,23,2021-07-23
51153,2021-07-23 00:00:00,-335.5,0.5604651162790697,2021,07,2021-07,23,2021-07-23
51187,2021-07-23 00:00:00,124.0,1.0,2021,07,2021-07,23,2021-07-23
51510,2021-07-23 00:00:00,-393.0,19.153846153846153,2021,07,2021-07,23,2021-07-23
51610,2021-07-23 00:00:00,-133.0,-0.5957446808510638,2021,07,2021-07,23,2021-07-23
51683,2021-07-23 00:00:00,-6.5,-1.022887323943662,2021,07,2021-07,23,2021-07-23
11001,2021-07-24 00:00:00,-222.5,-0.3522561863173217,2021,07,2021-07,24,2021-07-24
24009,2021-07-24 00:00:00,-267.5,-2.247086247086247,2021,07,2021-07,24,2021-07-24
24017,2021-07-24 00:00:00,-957.0,1.2704626334519573,2021,07,2021-07,24,2021-07-24
24021,2021-07-24 00:00:00,155.5,-1.5389948006932408,2021,07,2021-07,24,2021-07-24
24031,2021-07-24 00:00:00,230.0,-2.295774647887324,2021,07,2021-07,24,2021-07-24
24033,2021-07-24 00:00:00,-486.0,0.5355450236966826,2021,07,2021-07,24,2021-07-24
24037,2021-07-24 00:00:00,114.5,-1.47119341563786,2021,07,2021-07,24,2021-07-24
51013,2021-07-24 00:00:00,-475.5,0.7546125461254614,2021,07,2021-07,24,2021-07-24
