countyfips,countyname,cityid,cityname,czname,statename,statefips,stateabbrev,county_pop2019,ZIP,USPS_ZIP_PREF_CITY,RES_RATIO_x,BUS_RATIO_x,OTH_RATIO,TOT_RATIO_x,TOT_RATIO_y,RES_RATIO_y,BUS_RATIO_y,nearest_city,distance
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11971,SOUTHOLD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,138.3679890106606
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11972,SPEONK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,111.0507748631852
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11973,UPTON,0.0,0.0,1.0,1.0,1.0,0.0,0.0,New York City,96.44905097799021
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11975,WAINSCOTT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,150.66351620198148
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11976,WATER MILL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,141.5277331896417
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11977,WESTHAMPTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,112.769972611205
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11978,WESTHAMPTON BEACH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,115.26887226123759
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11980,YAPHANK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,92.45412048551843
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1005,BARRE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,86.14727154375666
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1031,GILBERTVILLE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,93.5418206877873
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1037,HARDWICK,0.0,1.0,1.0,1.0,1.0,0.0,1.0,Boston,93.23290711467821
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1068,OAKHAM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,80.83178932704706
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1074,SOUTH BARRE,0.0,1.0,1.0,1.0,1.0,0.0,1.0,Boston,84.87823060705907
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1083,WARREN,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Boston,94.88473160536769
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1092,WEST WARREN,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Boston,98.40985032355088
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1094,WHEELWRIGHT,0.0,1.0,1.0,1.0,1.0,0.0,1.0,Boston,88.4198335571103
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1331,ATHOL,0.9984162179284131,0.9975845410628019,1.0,0.9984357224118316,0.9984357224118316,0.9984162179284131,0.9975845410628019,Boston,95.4149365899395
