median_listing_price,active_listing_count,netinflow
664999.0,66.0,-126.0
711777.5,72.0,-236.0
674250.0,67.0,-319.0
609900.0,79.0,-328.0
664499.5,91.0,-304.0
675950.0,93.0,-208.0
625000.0,87.0,-224.0
619999.5,84.0,-203.0
595000.0,62.0,-190.0
597485.0,57.0,-160.0
542450.0,61.0,-203.0
655000.0,68.0,-167.0
640000.0,74.0,-181.0
669999.5,88.0,-118.0
639999.5,75.0,-143.0
627499.5,76.0,-114.0
641999.5,92.0,-30.0
732500.0,112.0,-58.0
644000.0,94.0,-68.0
629000.0,71.0,-52.0
584900.0,86.0,-90.0
595000.0,77.0,-95.0
599000.0,85.0,-60.0
632450.0,107.0,-107.0
694444.0,108.0,-94.0
689999.0,119.0,-105.0
687000.0,120.0,-51.0
657450.0,127.0,-49.0
649000.0,143.0,-122.0
642000.0,161.0,-57.0
638000.0,175.0,-49.0
620000.0,159.0,-94.0
649000.0,131.0,-112.0
649499.5,118.0,-17.0
653856.5714285715,120.0,-148.0
658357.0714285714,124.0,-21.0
662000.0,132.0,-55.0
629900.0,149.0,-119.0
629500.0,150.0,-113.0
629942.8571428572,152.0,-101.0
647492.8571428572,153.0,-57.0
704450.0,173.0,-107.0
700000.0,164.0,-102.0
704450.0,133.0,-131.0
704500.0,113.0,-73.0
714900.0,113.0,-83.0
685000.0,110.0,-147.0
624999.0,127.0,-130.0
600000.0,114.0,-39.0
637450.0,110.0,-128.0
662000.0,103.0,-121.0
624900.0,94.0,-174.0
674950.0,98.0,-188.0
650000.0,106.0,-133.0
625000.0,99.0,-105.0
592450.0,97.0,-189.0
525000.0,92.0,-112.0
519900.0,71.0,-67.0
519950.0,71.0,-129.0
499000.0,88.0,-166.0
549000.0,110.0,-204.0
674950.0,117.0,-119.0
635000.0,126.0,-106.0
649000.0,130.0,-145.0
672000.0,152.0,-93.0
674900.0,184.0,-117.0
647000.0,174.0,-74.0
649250.0,153.0,-122.0
624800.0,11.0,17.0
704900.0,10.0,7.0
704900.0,12.0,-9.0
692200.0,13.0,13.0
712400.0,16.0,-24.0
649900.0,24.0,-48.0
652450.0,21.0,-9.0
599000.0,20.0,27.0
717900.0,24.0,-2.0
764900.0,26.0,0.0
724900.0,24.0,9.0
669000.0,23.0,10.0
635000.0,18.0,14.0
597500.0,25.0,-35.0
577100.0,30.0,-40.0
587100.0,38.0,-20.0
549495.0,47.0,-9.0
